studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,10thmark,12thmark,cutoff,Annualincome,community,extracurricularinfo,gender,age,numberofprojects,numberofresearchpapers,levelofresearchpapers,competitions,gatescore,grescore,gmatscore,catscore,toeflscore,ieltsscore,leetcodecount,codechefstars,languagesknown,onlinecourses,internship,preferredcountry,preferreddegree,preferredcourse
Andrew Bradford,S722137,Data Science,A,3rd,2026,8/28/1997,"91980 Galvan Walks
Smithside, AK 42657",717.234.2914x51044,coxdiane@example.org,8.15,58,84,99,33947,ST,Arts,Other,23,1,4,Local,Quiz,14,281,536,88,81,6,42,0,French,None,No,Germany,PhD,AI
Amanda Buck,S634626,Computer Science,A,3rd,2025,10/26/1995,"863 Fowler Fort
Andreaton, AL 38159",001-424-446-2366x776,wilsonkristy@example.com,5.86,74,76,51,110964,ST,Music,Female,28,3,3,National,Quiz,32,269,587,73,59,2,94,1,English,Coursera,Yes,Germany,M.Sc,Data Science
Dana York,S313957,Mechanical,B,2nd,2027,12/3/2003,"813 Jordan Plains Suite 680
South Sherry, FM 06683",989.509.0958x059,rmelton@example.org,2.17,87,73,65,68234,ST,Sports,Other,28,10,1,National,Hackathon,70,316,704,97,118,7,45,0,English,Udacity,No,Canada,MBA,Machine Learning
Jerry Sexton,S970770,Computer Science,C,2nd,2028,10/27/1997,"PSC 2889, Box 9950
APO AE 58032",824.604.0655x451,vwilliams@example.org,5.87,75,80,64,80718,General,Sports,Other,22,3,1,International,Quiz,3,330,360,21,75,6,81,0,English,None,No,Germany,M.Tech,Machine Learning
Reginald Charles,S231454,Mechanical,C,4th,2028,8/11/2003,"4766 Christopher Knoll Suite 359
Port Brandon, CA 10037",351-300-9352,clarknatalie@example.com,3.45,94,61,95,64672,ST,Sports,Female,22,2,0,International,None,52,296,768,50,79,6,76,3,French,None,No,USA,M.Sc,Data Science
Jeffrey Smith MD,S189979,Data Science,A,2nd,2027,9/10/2001,"USS Miller
FPO AA 10283",+1-994-687-7154x4525,kwilson@example.net,6.3,100,79,65,99548,General,Music,Female,30,2,4,International,Coding Contest,1,300,455,54,32,2,21,2,English,Coursera,No,Canada,M.Tech,AI
Carolyn Wheeler,S578218,Electronics,B,3rd,2026,5/15/1999,"519 Dan Skyway
West Erikaland, OH 58951",526-663-2808x825,braychelsey@example.org,5.73,63,67,73,103124,General,Music,Other,24,2,1,International,Coding Contest,37,264,284,39,111,1,95,4,English,edX,No,Germany,M.Sc,Data Science
Mary Clarke,S583640,Computer Science,C,3rd,2028,12/18/2002,"417 Laura Union Apt. 778
New Lorifurt, CT 33117",(601)982-8512x58429,belindaosborne@example.com,3.51,88,91,78,44396,OBC,Music,Female,25,6,2,National,Quiz,18,328,445,8,89,7,77,0,Spanish,edX,No,Australia,PhD,AI
Kenneth Brennan,S852168,Computer Science,B,2nd,2026,3/5/2006,"521 Trevor Harbor
Lake Patriciafort, MO 75945",824.225.5299x8409,smithkent@example.com,7.13,77,51,72,64471,ST,Arts,Male,18,0,2,Local,Coding Contest,64,266,504,10,41,2,83,4,German,Coursera,Yes,USA,M.Tech,Software Engineering
William Pierce,S301763,Electronics,A,1st,2026,5/19/2000,"67227 Franklin Spurs Suite 189
Wellsfort, DE 38453",(725)990-1438,jerrynoble@example.net,8.63,100,55,93,52878,OBC,Sports,Other,29,0,5,Local,Quiz,45,323,755,4,102,8,15,0,German,Udacity,Yes,USA,MBA,Machine Learning
Larry Rodriguez,S955198,Mechanical,B,1st,2028,3/27/1995,"936 Alvarado Overpass Apt. 433
Yvonneberg, OH 71271",001-572-773-6942x2826,ffranklin@example.net,3.08,58,92,63,103667,ST,Sports,Female,22,10,4,National,None,65,278,543,8,7,6,52,4,French,Coursera,No,USA,MBA,Software Engineering
Taylor Williams,S243964,Data Science,B,4th,2025,2/21/2004,"9253 Wagner Keys Suite 320
East Timothy, LA 01102",824.654.7638x25224,zmoran@example.com,5.5,86,92,88,102499,OBC,None,Female,24,3,1,International,Coding Contest,13,301,793,19,63,8,3,0,German,Coursera,No,Australia,PhD,Software Engineering
Derrick Bush,S974738,Data Science,A,3rd,2025,9/11/2003,"200 Theresa Shoals
South Rogerview, VI 70277",+1-595-314-2383x764,patelrebecca@example.com,9.76,95,67,82,101734,SC,Music,Female,22,3,2,Local,Quiz,22,306,548,21,99,6,15,4,English,Udacity,Yes,Canada,MBA,Software Engineering
Rose Mccormick,S951006,Mechanical,B,1st,2026,3/30/2004,"800 Keller Harbors
Gregorytown, PR 98008",(736)784-4273,jesse71@example.net,9.31,83,66,67,82185,General,Sports,Male,25,10,1,International,Quiz,57,269,317,76,83,2,23,3,French,None,No,Canada,M.Sc,AI
Heather Gregory,S691419,Mechanical,B,2nd,2025,2/8/2006,"54356 Tony Island
Nicoleport, MN 72350",+1-645-442-4797x2107,james22@example.com,0.99,57,67,70,60345,General,Arts,Other,28,3,4,International,None,46,280,542,66,33,6,62,4,German,edX,Yes,USA,PhD,Machine Learning
Vincent Joseph,S971898,Electronics,C,3rd,2028,10/2/2001,"98579 Sara Pines Suite 861
South Diane, NY 01423",226-784-4498,garciajoseph@example.com,7.56,75,66,77,95263,General,None,Other,23,3,3,International,Coding Contest,84,305,727,51,43,1,49,1,Spanish,Coursera,No,Australia,PhD,Software Engineering
Carolyn Smith,S859411,Data Science,A,1st,2028,12/7/2001,"79763 Martinez Canyon
Watkinsfort, LA 46617",347-662-6788x8696,iyates@example.net,8.08,78,74,58,82934,ST,None,Other,24,0,3,National,Coding Contest,82,318,314,5,22,0,41,5,French,edX,No,Australia,MBA,Machine Learning
Katherine Rose,S237474,Data Science,A,3rd,2028,2/3/1998,"164 Stevens Crossing Apt. 173
Whitetown, HI 25563",842.751.0790x160,miranda70@example.net,3.48,84,75,64,58467,SC,None,Other,18,6,1,Local,Quiz,87,315,224,4,42,6,31,4,French,Coursera,No,Germany,PhD,Software Engineering
Keith Hull,S673357,Computer Science,B,2nd,2025,12/10/2002,"USCGC Webb
FPO AP 35364",812.617.2699,steven47@example.com,0.48,79,57,59,85262,General,None,Other,19,5,2,International,Hackathon,73,306,245,5,55,7,41,1,French,Coursera,No,Canada,PhD,Machine Learning
Randy Brown,S588257,Mechanical,C,4th,2027,12/29/2001,"USCGC Holmes
FPO AA 38033",796.284.9874x03162,williamsmatthew@example.net,8.86,52,84,84,82039,OBC,None,Male,18,9,5,National,None,29,260,669,96,11,2,38,0,Spanish,Udacity,No,UK,PhD,Machine Learning
James Burke,S931957,Electronics,A,3rd,2028,2/1/2003,"PSC 2540, Box 8797
APO AA 88530",-939,mevans@example.com,6.08,94,94,83,80616,ST,None,Other,24,1,4,Local,Quiz,87,303,546,4,23,1,47,2,Spanish,Udacity,Yes,UK,M.Sc,Data Science
Tammy Black,S536341,Data Science,C,1st,2028,2/28/1995,"0362 Martinez Mall Apt. 319
New Cynthiashire, AZ 07127",(648)344-0410x526,qtorres@example.net,1.27,83,65,63,47707,General,Sports,Male,27,3,0,Local,Hackathon,0,276,421,97,32,4,63,0,French,edX,Yes,Australia,PhD,AI
Joseph Bishop,S176213,Electronics,B,1st,2025,2/7/1994,"374 Taylor Oval
East Anne, KY 26352",741.327.2909,angela69@example.org,3.96,91,78,92,36935,OBC,Arts,Female,27,2,2,Local,None,50,284,708,34,91,8,61,4,French,edX,Yes,Australia,PhD,Data Science
Jessica Roach,S716043,Mechanical,B,3rd,2025,7/5/1996,"694 Moore Cliff
South Bobby, NJ 51814",001-281-540-5366x8749,mccoymatthew@example.com,4.44,72,71,90,31109,OBC,Arts,Female,24,10,5,Local,None,51,324,747,92,16,8,4,4,English,None,Yes,Germany,PhD,AI
William Lopez,S151989,Mechanical,A,3rd,2028,1/21/2006,"8228 Allen Meadow Suite 737
South Ryanhaven, NY 63056",281.356.1935,ozimmerman@example.com,1.95,89,75,90,111262,General,None,Other,29,5,3,International,Hackathon,39,320,213,21,13,9,36,4,German,None,No,UK,M.Tech,Software Engineering
Kelly Spencer,S109926,Mechanical,A,1st,2028,5/25/2001,"51729 Becker Ford
Wendymouth, NV 21400",626.729.6742x475,rosearias@example.org,3.99,73,62,60,114022,ST,Arts,Other,24,5,5,National,Hackathon,19,269,643,70,28,1,14,4,English,None,No,UK,M.Sc,AI
Allison Hutchinson,S907824,Data Science,B,3rd,2027,6/7/1995,"606 Bennett Place Suite 829
Elizabethburgh, WA 96801",+1-281-937-4658x185,mbowman@example.com,2.96,84,96,66,75722,General,Music,Female,20,4,5,Local,Coding Contest,17,321,358,67,23,3,52,3,German,edX,No,USA,MBA,Data Science
Diane Evans,S389165,Mechanical,B,2nd,2027,6/11/1997,"022 Collins Knolls
New Carrie, NM 64931",804.207.9674x40121,curtisadams@example.net,7.19,59,63,77,77380,General,None,Other,25,2,5,National,Quiz,39,311,760,45,57,8,13,4,Spanish,Coursera,No,Canada,M.Tech,AI
Tammy Love,S416685,Data Science,B,3rd,2026,12/17/2005,"67239 Moore Falls
Sanfordburgh, HI 37320",(543)938-8668x6166,milesangela@example.com,3.73,50,73,75,41767,SC,Sports,Other,28,1,1,National,Quiz,69,270,204,45,67,3,15,1,English,Udacity,Yes,Germany,M.Sc,Machine Learning
Adrian Zhang,S315949,Electronics,C,3rd,2028,9/26/1993,"867 Anderson Court Suite 463
New Lisa, CA 35598",875-808-1965x35553,imoreno@example.com,2.06,95,60,53,60951,SC,None,Male,26,5,1,Local,Hackathon,43,327,657,67,22,7,26,5,French,edX,No,Australia,PhD,Machine Learning
Manuel Weaver,S386979,Data Science,C,4th,2026,11/11/1993,"USCGC Calhoun
FPO AE 85878",001-203-796-9553x8179,crawfordsamantha@example.net,6.93,94,66,87,118317,ST,Music,Male,24,3,3,National,Coding Contest,68,269,213,99,1,3,16,2,German,Udacity,Yes,Australia,M.Tech,AI
Krista Robles,S168402,Computer Science,A,2nd,2026,1/8/1994,"38559 Black Ways Suite 012
North Derekhaven, ID 74929",693-296-3064x174,flowersjason@example.org,7.71,95,78,77,34081,OBC,Sports,Male,27,5,4,National,Quiz,7,287,412,18,11,6,8,5,Spanish,None,No,USA,M.Sc,Software Engineering
Mr. Mark Dennis,S197336,Electronics,A,4th,2028,10/30/1999,"63282 Jessica Lodge Apt. 654
Lake Elizabethhaven, NJ 04382",803.265.0866x813,emily40@example.com,5.18,77,76,53,63078,ST,Music,Other,21,6,2,International,Quiz,3,330,459,100,9,0,62,4,Chinese,None,No,Australia,M.Tech,Data Science
Tamara Gallagher,S140871,Mechanical,B,3rd,2028,7/5/1998,"97197 Fowler Street
West Andrewfort, ME 88503",776.940.9756x501,trice@example.com,4.29,68,66,71,118440,SC,Sports,Other,21,0,5,International,None,25,268,218,92,12,0,74,3,German,edX,No,UK,MBA,Data Science
Daniel Hendricks,S532420,Data Science,A,1st,2027,3/3/1997,"490 Kaitlyn Rapids Suite 089
Griffinburgh, IA 57484",966-351-6351x5580,toddchavez@example.com,6.21,51,67,95,79982,ST,None,Other,22,10,0,National,Quiz,45,339,288,72,114,5,28,0,Spanish,Udacity,No,Canada,M.Sc,Data Science
Ariel Jones,S713420,Electronics,B,3rd,2025,8/15/2003,"03089 Michelle Divide
Kanemouth, PR 23032",742-343-8210x391,fordlisa@example.net,9.15,68,78,55,85567,SC,Arts,Male,29,0,1,Local,Quiz,69,320,556,84,7,5,90,2,English,Udacity,Yes,Canada,M.Tech,Machine Learning
Tristan Stone,S795525,Electronics,A,3rd,2027,5/31/2006,"28223 Tina Dale Apt. 104
Lake Crystalfurt, WI 34438",(592)495-3792,hobbsdavid@example.net,9.71,65,81,60,78224,ST,Music,Female,21,0,0,Local,Quiz,91,298,620,89,85,0,87,4,German,Udacity,No,UK,MBA,Machine Learning
Jacqueline Freeman,S385531,Mechanical,C,4th,2028,4/28/1999,"0800 King Drive
Smithview, LA 96765",(286)762-6903x110,bonillathomas@example.org,5.43,92,79,53,96670,SC,None,Male,26,7,3,Local,Hackathon,10,313,414,75,51,0,22,0,Chinese,edX,Yes,Canada,M.Sc,AI
Alan Sparks,S918607,Computer Science,A,4th,2027,8/17/1996,"543 Hernandez Underpass
Xaviermouth, WY 96819",001-931-584-0511x923,josephward@example.org,7.28,100,89,58,106582,OBC,Music,Other,20,4,3,International,Coding Contest,4,293,231,83,51,2,89,0,Spanish,edX,Yes,Australia,M.Sc,Data Science
Tamara Chase,S518012,Data Science,B,4th,2025,2/18/2004,"7787 Tammy Centers
Lake Amyside, DC 85200",5559014479,christopher63@example.com,6.84,71,75,82,93555,ST,None,Male,20,8,0,Local,None,95,294,701,2,51,1,3,3,Chinese,Udacity,No,UK,MBA,Machine Learning
Ryan Smith,S334878,Computer Science,B,3rd,2028,4/7/2002,"7566 Roy Meadow Suite 266
Devinhaven, UT 70834",001-401-529-8620,gary74@example.org,6.93,51,58,65,37526,OBC,Arts,Male,22,7,2,International,Hackathon,24,290,741,1,59,4,46,1,Spanish,edX,No,Canada,M.Tech,Data Science
Debra Sullivan,S369728,Data Science,A,4th,2028,9/26/1997,"Unit 8991 Box 9544
DPO AE 83019",(981)861-3216x161,joseph43@example.org,6.07,54,95,97,36994,General,Music,Other,25,9,2,International,Quiz,60,333,371,74,51,9,39,2,German,None,Yes,Germany,M.Sc,AI
Alejandra Smith,S349291,Electronics,C,1st,2028,1/14/2006,"462 Delgado Coves Apt. 838
Jasonland, LA 36441",+1-247-812-6814x3473,scottpalmer@example.org,4.87,91,81,97,34934,SC,Music,Other,20,6,3,Local,Coding Contest,40,298,492,84,43,0,24,4,Spanish,Udacity,Yes,Germany,PhD,Software Engineering
Amanda Booker,S527214,Electronics,A,2nd,2027,11/20/1993,"4175 Sara Summit
New Laurenmouth, PR 34396",(349)502-3402x178,jamiejones@example.org,8.81,61,99,50,107226,General,None,Male,26,1,2,Local,Coding Contest,57,306,634,40,67,5,28,4,German,Udacity,Yes,Germany,M.Sc,Data Science
Andrew Boyd,S538776,Mechanical,A,3rd,2025,12/14/1998,"53084 Ian Canyon
South Jennifer, MS 78902",354-291-5564x4560,smithmatthew@example.org,0.37,62,85,86,104325,ST,Music,Female,22,0,5,National,Hackathon,33,314,534,79,62,1,100,1,English,Coursera,Yes,USA,M.Tech,Software Engineering
Emily Walker,S106265,Electronics,B,4th,2028,9/3/1998,"89098 Lee Place Apt. 653
Whitefurt, VA 00894",236.897.9409,palmerjulie@example.org,4.43,61,90,68,56129,ST,Sports,Other,27,7,4,International,None,48,316,213,17,7,2,61,5,English,Udacity,No,Canada,PhD,AI
Kyle Adkins,S620183,Data Science,C,1st,2028,5/29/1997,"989 Wagner Forks
New Calebshire, ME 84961",634.210.9095x13965,susanpowers@example.net,9.25,80,85,71,40247,General,Music,Female,29,5,4,National,Coding Contest,98,278,245,42,61,6,7,1,German,None,Yes,USA,M.Sc,AI
Nicole Campbell,S462914,Computer Science,A,4th,2025,10/16/1997,"259 Dennis Glen
Haynesfort, NM 59943",(429)908-6568x74270,william81@example.com,1.4,77,78,92,47651,ST,None,Female,22,3,3,Local,Quiz,15,302,331,7,109,2,67,1,Chinese,None,Yes,Australia,M.Tech,AI
Timothy Gallegos,S711867,Computer Science,B,1st,2028,5/3/1999,"6016 James Ferry Apt. 648
South Alejandro, NC 18645",8992285894,jamierichmond@example.org,7.68,86,95,72,38617,ST,Sports,Male,24,7,2,Local,None,9,313,662,19,40,5,68,2,French,Coursera,No,Germany,MBA,Software Engineering
David Davis,S642548,Electronics,A,1st,2028,10/10/1994,"063 Delacruz Pike Suite 299
Mccoychester, DE 36008",842.739.2576,timothy37@example.com,4.67,86,68,89,93215,General,Sports,Female,18,5,3,International,Quiz,57,305,661,21,102,1,25,5,Chinese,Udacity,No,Canada,PhD,Machine Learning
Lance Tucker,S675301,Mechanical,A,4th,2028,8/23/2001,"1438 Garcia Course
Port Melinda, TX 15904",+1-387-447-0411x045,aphillips@example.org,0.22,83,96,90,79553,General,Music,Other,29,6,4,International,Hackathon,48,287,280,52,107,3,87,0,German,Coursera,Yes,Germany,M.Sc,Machine Learning
Christopher Davies,S461475,Electronics,B,3rd,2027,1/12/2000,"19640 Kelsey Drives
East Jamesborough, MA 01225",729-319-4799x007,samanthayoung@example.net,2.07,58,84,90,118484,ST,Sports,Other,31,9,2,International,Coding Contest,34,332,766,52,85,9,14,4,German,Coursera,Yes,Canada,PhD,Machine Learning
Robert Parker,S751369,Computer Science,A,3rd,2028,1/27/2002,"32814 Matthew Lane
East Heathertown, GU 98080",611-314-0617x512,wilsonpeter@example.net,9.15,50,97,55,41840,General,None,Female,19,0,0,National,Hackathon,55,339,200,19,42,0,73,4,Spanish,Udacity,No,Canada,MBA,AI
John Costa,S215771,Mechanical,B,1st,2026,3/26/2005,"285 Contreras Path Apt. 632
Bergland, MI 95865",+1-986-590-5951x95862,aliciasullivan@example.com,1.13,63,57,59,99885,OBC,Arts,Other,21,5,4,International,Hackathon,15,282,485,5,82,9,69,1,Chinese,Udacity,Yes,Canada,MBA,Machine Learning
Derek Park,S738937,Mechanical,B,3rd,2027,2/9/1999,"USNV Benson
FPO AE 22501",+1-607-937-7981x9049,owilson@example.org,2.52,87,70,97,41983,OBC,Music,Other,27,2,4,Local,Hackathon,61,296,569,59,25,8,31,3,German,edX,Yes,USA,M.Tech,Data Science
Ashley Spencer,S535645,Computer Science,C,3rd,2027,5/5/2005,"9121 Edwards Centers Apt. 381
South Dianebury, WY 81836",(964)719-1001x479,zsmith@example.net,6.93,89,89,91,92545,SC,Arts,Other,25,10,4,National,Hackathon,76,340,580,71,84,9,84,1,English,edX,No,Australia,PhD,Machine Learning
Larry Brown,S785506,Mechanical,B,2nd,2028,3/29/1996,"7367 Kayla Shore Suite 179
Barneschester, FM 92017",267-371-2005x36179,katherinefoster@example.com,6.99,99,82,58,46887,SC,None,Female,22,5,1,Local,Quiz,18,267,298,24,111,3,77,0,Chinese,None,No,Germany,PhD,AI
Roger Peters,S626518,Mechanical,B,1st,2027,9/1/1996,"4844 Campbell Hill
East Coltonton, MH 51915",+1-630-496-6155x392,fmartinez@example.com,9.99,50,97,87,57622,General,Music,Male,21,7,3,International,Coding Contest,63,312,625,20,1,6,1,4,German,None,Yes,Canada,M.Sc,AI
Amy Clark,S918888,Data Science,B,2nd,2025,4/10/1998,"PSC 8437, Box 2696
APO AA 92353",+1-998-694-0879x341,reevesalexander@example.net,5.79,66,54,65,116303,OBC,Sports,Male,21,9,1,International,None,84,321,241,80,60,8,78,0,German,Udacity,No,UK,PhD,AI
Kimberly Friedman,S614153,Mechanical,A,1st,2028,2/17/2000,"1111 Jill Ports
West Davidmouth, MS 81703",241-466-4295x547,megancooper@example.org,0.62,53,58,73,62993,OBC,Arts,Female,27,5,5,Local,Quiz,96,336,699,73,65,4,8,3,French,Coursera,No,USA,PhD,Machine Learning
Alyssa Nunez,S925943,Mechanical,A,2nd,2026,8/9/1998,"591 Thomas Prairie Apt. 416
Port Colin, MP 05506",5612120469,ferrellbrittany@example.com,7.81,65,73,50,57329,General,Sports,Male,27,10,5,International,Quiz,76,260,791,42,32,7,84,0,German,Coursera,Yes,Australia,M.Tech,Software Engineering
Katie Perry,S110942,Data Science,C,2nd,2026,6/1/2003,"4777 Miller Locks
Chandlershire, PA 76213",714.305.8537x4290,haroldroy@example.org,1.16,54,57,59,89138,SC,Sports,Male,25,8,2,Local,Hackathon,55,340,513,16,13,1,31,2,German,Udacity,No,Australia,M.Tech,AI
Laura Johnson,S510720,Electronics,B,2nd,2028,6/7/2001,"045 Frank Turnpike Suite 801
Port Annette, HI 65283",(672)670-0363,jonesbrittany@example.org,9.04,81,74,86,34539,General,Arts,Male,30,3,0,Local,Hackathon,89,330,529,70,70,8,62,1,French,Coursera,Yes,UK,M.Sc,AI
Cathy Carter,S866951,Mechanical,A,4th,2026,5/4/2000,"404 Anderson Islands Apt. 033
New Andrea, TX 55946",415-996-7008,william04@example.org,9.69,95,91,67,44904,OBC,Arts,Female,21,4,5,National,Quiz,42,336,334,11,58,7,74,5,French,Coursera,Yes,Australia,MBA,Software Engineering
Johnathan Huff,S401883,Electronics,C,1st,2028,10/25/1999,"0462 David Inlet
Carolynfort, VA 03197",918-444-0378,jennifer46@example.org,6.65,75,66,63,113081,SC,Music,Male,23,4,4,Local,Hackathon,76,272,497,40,90,7,87,0,German,None,Yes,Australia,MBA,AI
Donna Powell,S790619,Computer Science,A,3rd,2028,10/1/1998,"32825 Bradley Circle
Randallborough, NH 21385",(606)444-0908x17986,ejackson@example.net,3.16,87,82,51,67971,ST,Sports,Female,23,5,2,International,Hackathon,1,312,672,69,64,2,63,2,French,Coursera,Yes,UK,M.Sc,Data Science
Marcus Kaufman,S536957,Data Science,B,4th,2025,1/18/2003,"23818 Wright Harbor Apt. 562
New Robertside, WI 24881",868-232-6982,mcarter@example.org,6.09,94,88,71,59923,SC,Arts,Male,23,2,4,National,Hackathon,64,311,365,62,73,5,84,4,German,Coursera,No,USA,MBA,AI
Travis Fuller,S811717,Data Science,C,1st,2027,11/6/2001,"967 Raymond Stream Suite 041
Williamberg, NH 41610",(260)554-6058x486,dawncrawford@example.com,9.56,76,68,75,102841,SC,Sports,Other,23,0,3,National,Coding Contest,33,269,504,98,4,9,82,0,English,edX,Yes,USA,M.Tech,Data Science
Julie Sloan DDS,S713087,Computer Science,B,4th,2025,1/10/1996,"5911 Calvin Plain
Port Lindseybury, CT 95015",509.641.2914x9813,vasquezchristina@example.net,6.86,89,80,75,33251,ST,Sports,Female,30,5,3,National,Coding Contest,19,292,314,0,120,1,27,1,English,Coursera,Yes,USA,PhD,AI
Denise Martinez,S191218,Electronics,A,3rd,2027,8/7/1997,"4133 Ashley Ways Suite 370
West Hannahbury, FM 93236",929-652-3377,tgomez@example.com,1.04,67,97,76,62006,OBC,Arts,Male,19,7,4,National,Hackathon,98,283,546,4,72,0,97,0,German,None,No,Australia,M.Sc,Machine Learning
Christopher Smith,S752933,Electronics,A,4th,2026,4/12/2004,"1371 Ernest Estate Apt. 219
Phillipborough, OH 48931",001-449-236-5191x529,robertmiller@example.org,3.14,60,64,92,78056,OBC,Sports,Female,25,4,3,International,Coding Contest,19,309,761,10,82,2,29,3,French,edX,No,UK,M.Tech,Machine Learning
Jonathan Williams,S915347,Electronics,B,3rd,2027,11/11/1996,"4113 Moore Crossing
East Jerryburgh, WA 10834",001-595-517-8031x6228,matthew15@example.org,2.77,64,64,64,37470,General,Arts,Other,18,4,4,National,Hackathon,51,339,676,17,34,5,39,1,Spanish,Coursera,Yes,Germany,PhD,AI
Jeffrey Lucas,S142619,Mechanical,A,1st,2025,5/31/1995,"51327 Elijah Bypass Apt. 172
Ericville, MO 25230",001-879-554-0558x003,jeffrey17@example.org,9.53,68,70,84,108475,ST,None,Male,18,2,1,Local,None,84,301,607,16,86,3,39,0,English,edX,Yes,Germany,MBA,Machine Learning
Christine Smith,S484453,Computer Science,A,1st,2027,10/15/1997,"936 Ramirez Track
New Davidborough, DE 54134",732.219.2833,millerbeth@example.net,2.39,99,54,65,32957,SC,None,Female,29,2,5,Local,Quiz,29,261,287,66,105,4,9,2,Chinese,Udacity,Yes,UK,PhD,Data Science
Autumn Walker,S357903,Electronics,B,3rd,2025,2/27/1998,"76189 Hayes Springs
South Susan, SD 82080",-7050,anthonyroth@example.net,4.88,58,62,67,104122,General,None,Other,31,1,4,Local,Coding Contest,72,329,623,8,92,3,56,2,Spanish,edX,Yes,Germany,PhD,Data Science
Thomas Duran,S858674,Electronics,A,2nd,2027,7/19/2005,"59851 Snow Coves
South Johnchester, CA 65050",+1-730-786-1155x68716,connorarroyo@example.com,7.78,90,94,73,67114,ST,Sports,Female,28,7,3,International,Hackathon,47,276,756,91,41,7,16,1,Chinese,None,Yes,UK,PhD,Machine Learning
Mr. Troy Davis,S748991,Mechanical,C,2nd,2026,9/7/1999,"2783 Jennifer Squares
Randallmouth, DE 97902",+1-883-414-4627x297,hmyers@example.net,9.81,88,53,93,31476,OBC,Music,Female,29,5,2,National,Hackathon,3,321,636,38,63,6,48,3,Chinese,Udacity,Yes,UK,MBA,Machine Learning
Tommy Robinson,S101358,Mechanical,B,1st,2025,3/5/2006,"USNV Collins
FPO AE 92932",(469)988-2299,riversbobby@example.com,7.47,84,84,50,37144,General,Music,Other,30,7,4,National,Coding Contest,63,265,263,77,65,4,97,3,German,edX,No,Germany,M.Tech,AI
Shane Riley,S621612,Mechanical,B,1st,2026,8/4/2006,"6067 Linda Knoll
East Billy, NH 50446",912-371-5611x82550,robertjohnson@example.com,6.38,69,93,66,116931,General,Sports,Male,24,6,1,National,Hackathon,59,336,219,8,56,0,40,0,German,Coursera,Yes,UK,MBA,Software Engineering
Debra Hoover,S602924,Computer Science,B,3rd,2025,2/10/2004,"5821 Michael Plains Apt. 360
Lake Michellefurt, IA 42733",409.471.2175x213,stephen94@example.net,4.26,74,79,87,50480,SC,Arts,Female,21,1,3,Local,Hackathon,1,277,644,80,79,6,44,2,Spanish,edX,Yes,UK,MBA,AI
Michele Smith,S490677,Mechanical,C,3rd,2025,10/24/2000,"PSC 6566, Box 8619
APO AA 78847",719-682-5335,mariacummings@example.com,6.21,57,67,79,66624,OBC,Music,Other,22,10,5,National,Hackathon,8,317,773,9,28,1,55,1,German,Udacity,Yes,Canada,MBA,Machine Learning
Samantha Rivera,S540264,Data Science,A,2nd,2028,9/1/2004,"USCGC Lee
FPO AE 51675",787-993-3594,barry02@example.org,3.66,69,68,62,33904,OBC,Music,Female,18,5,1,National,Quiz,29,334,365,99,65,4,85,0,English,edX,Yes,Canada,M.Tech,AI
Emily Taylor,S896718,Data Science,B,2nd,2026,10/14/1997,"70211 Mary Dale Suite 189
Kevintown, WI 13147",211-560-7165,douglasnelson@example.org,2.57,88,71,81,113267,SC,Arts,Other,24,1,4,National,Hackathon,21,322,432,24,47,6,16,3,French,Udacity,No,Canada,PhD,AI
Rebecca Smith,S852647,Mechanical,A,4th,2025,6/10/2003,"PSC 3553, Box 6732
APO AE 87645",883-485-3667,melanie16@example.org,0.15,53,84,83,102590,SC,Arts,Male,21,10,2,National,Quiz,66,306,298,95,73,8,72,0,Chinese,edX,No,Germany,PhD,Machine Learning
Heather Young,S776555,Electronics,A,4th,2028,7/13/2004,"802 Williams Fields
North Javierton, RI 87714",+1-230-949-4799x98846,hgibbs@example.com,0.06,56,83,74,93483,SC,None,Other,20,10,4,International,Coding Contest,11,333,600,77,87,8,100,3,Chinese,Coursera,No,UK,PhD,Machine Learning
Dawn Brooks DDS,S200055,Electronics,B,4th,2025,12/30/2000,"69401 Patricia Rapids Suite 416
Lake Mariaside, WY 26037",355-445-7919x04437,richard03@example.org,2.17,77,100,70,34045,ST,None,Male,30,7,2,Local,None,47,283,668,49,22,1,16,5,French,Coursera,No,USA,M.Tech,Data Science
James Baldwin,S631419,Computer Science,B,1st,2025,4/4/2003,"9179 Brittany Prairie
East Seanhaven, TX 97184",(673)706-1101x959,obranch@example.com,2.05,57,70,70,59982,SC,Music,Male,22,0,5,International,Quiz,81,310,376,69,70,9,18,4,Spanish,Udacity,No,USA,PhD,Machine Learning
Angela Hancock,S410777,Computer Science,C,3rd,2026,1/11/1994,"067 Sullivan Parkway Apt. 361
Brianside, MP 20383",(309)682-7331,ronnielester@example.com,1.28,57,62,79,61566,General,Arts,Female,29,7,0,Local,Quiz,83,303,401,6,51,1,97,0,German,Coursera,Yes,USA,M.Sc,AI
Heather Norris,S554467,Electronics,A,4th,2025,1/14/1994,"808 David Alley Apt. 289
South Brandy, NH 00770",374.430.1964,larrycunningham@example.com,9.43,69,67,74,38262,SC,Music,Other,30,4,3,International,Coding Contest,25,322,435,44,108,7,85,3,Spanish,Coursera,No,Australia,M.Tech,Data Science
